ruta,distancia
"Mataró -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5279.03
"Mataró -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5288.41
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5307.19
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5311.88
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5314.84
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5315.95
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5317.64
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5318.75
"Mataró -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5327.61
"Mataró -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5327.63
"Mataró -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5328.73
"Mataró -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5328.74
"Mataró -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5328.75
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5332.799999999999
"Mataró -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Castellón -> España, Sevilla -> España, Las Palmas",5332.83
"Mataró -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5334.27
"Mataró -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Castellón -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5334.68
"Mataró -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5334.969999999999
"Mataró -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5340.2
"Mataró -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5341.3099999999995
"Mataró -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5343.88
"Mataró -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Castellón -> España, Sevilla -> España, Las Palmas",5348.33
"Mataró -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5349.37
"Mataró -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5349.389999999999
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Sevilla -> España, Las Palmas",5349.87
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5353.74
"Mataró -> España, Castellón -> España, Pamplona -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5355.879999999999
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5357.15
"Mataró -> España, Castellón -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5357.43
"Mataró -> España, Pamplona -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5358.27
"Mataró -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5367.0
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5376.7699999999995
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Sevilla -> España, Las Palmas",5377.04
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5377.88
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Sevilla -> España, Las Palmas",5390.610000000001
"Mataró -> España, Castellón -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5395.27
"Mataró -> España, Castellón -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5401.05
"Mataró -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5407.33
"Mataró -> España, Islas Baleares, Palma -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Castellón -> España, Sevilla -> España, Las Palmas",5412.4
"Mataró -> España, Castellón -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5412.91
"Mataró -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5413.57
"Mataró -> España, Castellón -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5419.99
"Mataró -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5422.47
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Guadalajara -> España, Palencia -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5424.25
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5424.81
"Mataró -> España, Islas Baleares, Palma -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Castellón -> España, Sevilla -> España, Las Palmas",5427.54
"Mataró -> España, Islas Baleares, Palma -> España, Pamplona -> España, Castellón -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5427.58
"Mataró -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5427.96
"Mataró -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5427.98
"Mataró -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Lugo -> España, Sevilla -> España, Las Palmas",5428.79
"Mataró -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Sevilla -> España, Las Palmas",5429.91
"Mataró -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Lugo -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5431.0199999999995
"Mataró -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Lugo -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5432.13
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5435.4400000000005
"Mataró -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5438.700000000001
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5439.05
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5440.16
"Mataró -> España, Castellón -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5456.9
"Mataró -> España, Castellón -> España, Palencia -> España, Lugo -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5457.0
"Mataró -> España, Castellón -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5459.71
"Mataró -> España, Castellón -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5463.33
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5471.38
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5477.76
"Mataró -> España, Pamplona -> España, Palencia -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5479.78
"Mataró -> España, Pamplona -> España, Palencia -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5480.889999999999
"Mataró -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5482.27
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Guadalajara -> España, Lugo -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5485.63
"Mataró -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5488.13
"Mataró -> España, Palencia -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5488.95
"Mataró -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5489.25
"Mataró -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Palencia -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",5489.6900000000005
"Mataró -> España, Castellón -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5490.13
"Mataró -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Palencia -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5493.639999999999
"Mataró -> España, Pamplona -> España, Lugo -> España, Guadalajara -> España, Palencia -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5494.75
"Mataró -> España, Castellón -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5495.62
"Mataró -> España, Castellón -> España, Pamplona -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",5499.219999999999
"Mataró -> España, Palencia -> España, Guadalajara -> España, Lugo -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5502.49
"Mataró -> España, Lugo -> España, Guadalajara -> España, Palencia -> España, Pamplona -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5502.8099999999995
"Mataró -> España, Palencia -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Sevilla -> España, Las Palmas",5503.2
"Mataró -> España, Lugo -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Islas Baleares, Palma -> España, Castellón -> España, Sevilla -> España, Las Palmas",5503.29
"Mataró -> España, Lugo -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Castellón -> España, Islas Baleares, Palma -> España, Sevilla -> España, Las Palmas",5504.41
"Mataró -> España, Castellón -> España, Pamplona -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",5509.07
"Mataró -> España, Guadalajara -> España, Pamplona -> España, Islas Baleares, Palma -> España, Castellón -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",5514.04
