,0,24,37,19,39,40,32,27,2,33,17,38,8,23,9,35,13,14,11,30,7,34,28,25,29,36,15,12,5,16,22,1,6,3
29,9.9,6.84,3.58,8.61,7.85,1.14,3.64,6.56,4.44,5.22,8.32,6.76,8.04,8.29,3.87,7.34,2.97,5.47,5.47,5.2,8.64,7.44,4.87,9.69,0.0,10.19,6.61,8.89,10.3,5.14,4.26,9.02,5.88,3.36
36,8.03,4.46,7.78,2.19,4.32,10.44,8.1,5.26,6.63,9.47,5.72,7.41,7.57,4.29,7.99,3.57,8.09,9.62,6.15,9.0,3.68,8.09,5.77,7.74,10.28,0.0,6.59,6.7,8.46,9.29,6.82,5.12,7.76,7.69
15,10.09,3.56,3.34,6.92,2.44,6.29,4.82,5.45,4.7,6.98,7.21,6.95,8.23,6.86,5.53,5.66,3.91,7.13,4.45,6.88,3.72,7.63,3.95,9.88,6.62,6.53,0.0,9.08,10.48,6.81,4.11,7.59,6.07,4.4
12,1.6,5.7,7.42,4.62,8.8,9.45,6.01,4.62,6.36,5.13,3.37,2.41,1.13,2.57,5.22,4.41,7.25,4.67,4.75,3.89,7.47,2.48,5.51,1.3,8.82,6.65,9.08,0.0,2.03,4.24,6.54,1.98,4.1,6.38
5,1.06,7.51,8.86,6.43,10.61,10.89,7.44,6.44,7.79,6.56,5.19,3.85,2.44,4.38,6.66,6.22,8.69,6.11,6.18,5.32,9.28,3.57,6.94,1.34,10.25,8.47,10.51,2.11,0.0,5.67,7.98,3.79,5.53,7.81
16,5.26,5.99,3.76,7.21,8.06,5.8,2.35,5.09,3.81,1.46,3.77,2.12,3.4,5.18,1.56,6.14,3.59,1.58,3.35,0.4,7.74,2.8,3.97,5.04,5.16,9.24,6.83,4.25,5.65,0.0,4.13,5.34,1.69,2.72
22,7.6,3.36,1.23,5.13,5.34,4.43,2.09,3.09,1.11,4.26,4.84,4.46,5.74,4.81,2.81,3.87,1.92,4.41,2.0,4.15,5.17,5.14,1.4,7.39,4.27,6.71,4.13,6.59,7.99,4.08,0.0,5.54,3.58,1.68
1,3.31,4.1,6.51,3.02,7.2,9.17,6.84,3.03,5.37,6.29,1.77,3.46,2.85,0.97,6.39,2.82,6.82,5.84,4.57,5.05,5.87,4.15,4.29,3.02,9.01,5.06,7.58,1.98,3.74,5.4,5.55,0.0,4.39,6.42
6,5.14,4.44,4.05,5.85,7.33,6.24,2.77,3.53,2.88,2.63,2.82,2.0,3.28,4.23,2.28,4.58,3.89,2.71,1.79,1.42,6.19,2.68,2.54,4.93,5.87,7.73,6.11,4.13,5.54,1.72,3.58,4.4,0.0,3.0
3,7.44,4.28,1.34,6.05,5.64,3.52,0.69,4.01,1.39,2.86,5.74,4.3,5.58,5.73,1.4,4.79,1.17,3.01,2.92,2.75,6.09,4.98,2.32,7.22,3.36,7.63,4.41,6.43,7.83,2.68,1.71,6.46,3.0,0.0
